Story ID,Story / Epic,Story Description,Task ID,Task Description,Role,Planned Week,Priority,Deliverable / Evidence
S03,Project Setup and Architecture,"As a developer, I need a working local codebase so the team can build JobTrack from one repository using React, ASP.NET Core, and PostgreSQL.",S03-T03,Set up ASP.NET Core backend project and confirm API runs locally.,Developer,Week 4,High,Backend running screenshot
S03,Project Setup and Architecture,"As a developer, I need a working local codebase so the team can build JobTrack from one repository using React, ASP.NET Core, and PostgreSQL.",S03-T04,Prepare Docker/PostgreSQL local database setup and connection configuration.,Database Administrator,Week 4,High,Database setup notes / screenshot
S03,Project Setup and Architecture,"As a developer, I need a working local codebase so the team can build JobTrack from one repository using React, ASP.NET Core, and PostgreSQL.",S03-T05,"Create initial architecture diagram showing React view, ASP.NET Core controller/API logic, and PostgreSQL model/database layer.",Report Analyst,Week 4,Medium,Architecture diagram
S04,User Account and Private Workspace,"As a job seeker, I want to register and log in so my application records are private and separated from other users.",S04-T01,Design user table/entity with fields required for login and ownership of application records.,Database Administrator,Week 5,High,User entity / migration
S04,User Account and Private Workspace,"As a job seeker, I want to register and log in so my application records are private and separated from other users.",S04-T02,"Implement registration, login, logout, and basic authentication flow.",Developer,Week 5,High,Working auth screens/API
S04,User Account and Private Workspace,"As a job seeker, I want to register and log in so my application records are private and separated from other users.",S04-T03,Apply backend rules so users can only access their own records.,Developer,Week 5,High,Authorization checks
S04,User Account and Private Workspace,"As a job seeker, I want to register and log in so my application records are private and separated from other users.",S04-T04,"Create test cases for registration, login, logout, invalid login, and private data access.",Tester,Week 5,High,Authentication test cases
S05,Application Record Management,"As a job seeker, I want to add and manage job application records so I can keep accurate details after applying for roles.",S05-T01,"Design application table/entity including company, role title, location, job type, date applied, source link, status, salary range, notes, and user ID.",Database Administrator,Week 5,High,Application entity / ERD
S05,Application Record Management,"As a job seeker, I want to add and manage job application records so I can keep accurate details after applying for roles.",S05-T02,"Implement create, view, edit, and archive application API endpoints.",Developer,Week 5,High,Application CRUD API
S05,Application Record Management,"As a job seeker, I want to add and manage job application records so I can keep accurate details after applying for roles.",S05-T03,"Build application list, add form, edit form, and detail page in React.",Developer,Week 5,High,Application UI screens
S05,Application Record Management,"As a job seeker, I want to add and manage job application records so I can keep accurate details after applying for roles.",S05-T04,Create validation rules for required fields and invalid dates.,Business Analyst,Week 5,Medium,Validation rules documented
S05,Application Record Management,"As a job seeker, I want to add and manage job application records so I can keep accurate details after applying for roles.",S05-T05,"Test create, read, update, archive, validation, and user ownership behaviour.",Tester,Week 5,High,Application CRUD test evidence
S06,Status Workflow and Filtering,"As a job seeker, I want to update application status and filter records so I can quickly understand my current job search pipeline.",S06-T01,"Define allowed statuses: Applied, Interview, Offer, Rejected, Withdrawn, and Archived.",Business Analyst,Week 6,High,Status workflow notes
S06,Status Workflow and Filtering,"As a job seeker, I want to update application status and filter records so I can quickly understand my current job search pipeline.",S06-T02,Implement status update logic and backend validation.,Developer,Week 6,High,Status API update
S06,Status Workflow and Filtering,"As a job seeker, I want to update application status and filter records so I can quickly understand my current job search pipeline.",S06-T03,"Build search, sort, and filter controls for status, company, job type, and date applied.",Developer,Week 6,High,Filtered application list
S06,Status Workflow and Filtering,"As a job seeker, I want to update application status and filter records so I can quickly understand my current job search pipeline.",S06-T04,Check whether database indexes are needed for common search/filter fields.,Database Administrator,Week 6,Medium,Index recommendation
S06,Status Workflow and Filtering,"As a job seeker, I want to update application status and filter records so I can quickly understand my current job search pipeline.",S06-T05,"Test status changes, filter results, search accuracy, and invalid status handling.",Tester,Week 6,High,Status/filter test evidence
S07,Interview and Follow-Up Management,"As a job seeker, I want to record interviews, recruiter contacts, and follow-up dates so I do not miss important actions.",S07-T01,Define interview and follow-up data fields and business rules.,Business Analyst,Week 6,High,Interview/follow-up requirements
S07,Interview and Follow-Up Management,"As a job seeker, I want to record interviews, recruiter contacts, and follow-up dates so I do not miss important actions.",S07-T02,"Design database entities for interview records, contact details, follow-up dates, and reminder status.",Database Administrator,Week 6,High,Interview/follow-up schema
S07,Interview and Follow-Up Management,"As a job seeker, I want to record interviews, recruiter contacts, and follow-up dates so I do not miss important actions.",S07-T03,Implement backend endpoints for interview and follow-up records.,Developer,Week 6,High,Interview/follow-up API
S07,Interview and Follow-Up Management,"As a job seeker, I want to record interviews, recruiter contacts, and follow-up dates so I do not miss important actions.",S07-T04,"Build UI forms and display sections for interviews, contacts, follow-ups, and reminder status.",Developer,Week 6,High,Interview/follow-up UI
S07,Interview and Follow-Up Management,"As a job seeker, I want to record interviews, recruiter contacts, and follow-up dates so I do not miss important actions.",S07-T05,"Test interview date rules, follow-up date rules, reminder status, and editing behaviour.",Tester,Week 6,High,Interview/follow-up test cases
S08,Document and Link Tracking,"As a job seeker, I want to record which resume, cover letter, portfolio, or GitHub link I used so I can understand which documents support better outcomes.",S08-T01,Define document/link fields without implementing file upload in the first version.,Business Analyst,Week 7,Medium,Document tracking requirements
S08,Document and Link Tracking,"As a job seeker, I want to record which resume, cover letter, portfolio, or GitHub link I used so I can understand which documents support better outcomes.",S08-T02,"Update database model to store resume version, cover letter version, portfolio link, GitHub link, and skill keywords.",Database Administrator,Week 7,Medium,Document fields migration
S08,Document and Link Tracking,"As a job seeker, I want to record which resume, cover letter, portfolio, or GitHub link I used so I can understand which documents support better outcomes.",S08-T03,Implement document/link fields in backend and frontend application forms.,Developer,Week 7,Medium,Document/link fields implemented
S08,Document and Link Tracking,"As a job seeker, I want to record which resume, cover letter, portfolio, or GitHub link I used so I can understand which documents support better outcomes.",S08-T04,Prepare sample data showing different resume versions and application outcomes.,Data Analyst,Week 7,Medium,Sample data set
S08,Document and Link Tracking,"As a job seeker, I want to record which resume, cover letter, portfolio, or GitHub link I used so I can understand which documents support better outcomes.",S08-T05,Test document/link validation and display on application details.,Tester,Week 7,Medium,Document tracking test evidence
S09,Dashboard and Insights,"As a job seeker, I want dashboard summaries so I can quickly review active applications, outcomes, upcoming interviews, and overdue follow-ups.",S09-T01,"Define dashboard metrics: active applications, upcoming interviews, overdue follow-ups, status counts, platform counts, and outcome summaries.",Data Analyst,Week 7,High,Dashboard metric definition
S09,Dashboard and Insights,"As a job seeker, I want dashboard summaries so I can quickly review active applications, outcomes, upcoming interviews, and overdue follow-ups.",S09-T02,Write database queries or service methods for dashboard summary data.,Developer,Week 7,High,Dashboard API/service
S09,Dashboard and Insights,"As a job seeker, I want dashboard summaries so I can quickly review active applications, outcomes, upcoming interviews, and overdue follow-ups.",S09-T03,Build dashboard cards/tables/charts in React.,Developer,Week 7,High,Dashboard UI
S09,Dashboard and Insights,"As a job seeker, I want dashboard summaries so I can quickly review active applications, outcomes, upcoming interviews, and overdue follow-ups.",S09-T04,Validate dashboard calculations using sample data.,Data Analyst,Week 7,High,Metric validation notes
S09,Dashboard and Insights,"As a job seeker, I want dashboard summaries so I can quickly review active applications, outcomes, upcoming interviews, and overdue follow-ups.",S09-T05,"Test dashboard totals, date-based results, and empty-state behaviour.",Tester,Week 7,High,Dashboard test evidence
S10,Business Documentation and Diagrams,"As a project team, we need complete documentation so the final submission explains the business need, requirements, design, and project decisions.",S10-T01,"Write BRD sections covering background, problem, stakeholders, objectives, scope, assumptions, risks, and requirements.",Business Analyst,Week 8,High,BRD draft
S10,Business Documentation and Diagrams,"As a project team, we need complete documentation so the final submission explains the business need, requirements, design, and project decisions.",S10-T02,"Create use case diagram, activity diagram, ERD, and architecture diagram.",Report Analyst,Week 8,High,Diagram files/screenshots
S10,Business Documentation and Diagrams,"As a project team, we need complete documentation so the final submission explains the business need, requirements, design, and project decisions.",S10-T03,"Document database tables, relationships, key constraints, and sample data.",Database Administrator,Week 8,High,Database documentation
S10,Business Documentation and Diagrams,"As a project team, we need complete documentation so the final submission explains the business need, requirements, design, and project decisions.",S10-T04,"Update weekly report evidence with meeting minutes, screenshots, commits, and role-based contributions.",Report Analyst,Week 8,Medium,Weekly report evidence
S11,Testing and Quality Assurance,"As a project team, we need tested features so the final application is reliable and the submission includes clear testing evidence.",S11-T01,"Create test plan covering authentication, application CRUD, status workflow, interview/follow-up, document tracking, dashboard, validation, and privacy rules.",Tester,Week 8,High,Test plan
S11,Testing and Quality Assurance,"As a project team, we need tested features so the final application is reliable and the submission includes clear testing evidence.",S11-T02,Write manual test cases with expected results and actual results.,Tester,Week 8,High,Test case document
S11,Testing and Quality Assurance,"As a project team, we need tested features so the final application is reliable and the submission includes clear testing evidence.",S11-T03,"Run tests, record defects, and retest fixed issues.",Tester,Week 9,High,Defect log / retest evidence
S11,Testing and Quality Assurance,"As a project team, we need tested features so the final application is reliable and the submission includes clear testing evidence.",S11-T04,Fix defects found during testing and update evidence after fixes.,Developer,Week 9,High,Bug-fix commits
S11,Testing and Quality Assurance,"As a project team, we need tested features so the final application is reliable and the submission includes clear testing evidence.",S11-T05,"Check database data integrity after testing, including user ownership and relationship constraints.",Database Administrator,Week 9,Medium,Database QA notes
S12,Final Integration and Submission,"As a project team, we need to package and present the completed project so it can be assessed against code, BRD, test cases, weekly reports, and presentation requirements.",S12-T01,Review all features against MVP scope and remove incomplete or risky items from the final submission if needed.,Business Analyst,Week 9,High,Scope review notes
S12,Final Integration and Submission,"As a project team, we need to package and present the completed project so it can be assessed against code, BRD, test cases, weekly reports, and presentation requirements.",S12-T02,"Prepare final local run instructions for frontend, backend, and PostgreSQL from one repository.",Developer,Week 9,High,README setup/run instructions
S12,Final Integration and Submission,"As a project team, we need to package and present the completed project so it can be assessed against code, BRD, test cases, weekly reports, and presentation requirements.",S12-T03,"Finalise BRD, diagrams, test cases, and weekly report evidence.",Report Analyst,Week 10,High,Final documentation package
S12,Final Integration and Submission,"As a project team, we need to package and present the completed project so it can be assessed against code, BRD, test cases, weekly reports, and presentation requirements.",S12-T04,"Prepare presentation slides covering problem, solution, architecture, demo flow, testing, and team contribution.",Report Analyst,Week 10,High,Final presentation slides
S12,Final Integration and Submission,"As a project team, we need to package and present the completed project so it can be assessed against code, BRD, test cases, weekly reports, and presentation requirements.",S12-T05,Perform final demo rehearsal and record issues or improvements before submission.,Tester,Week 10,High,Demo checklist / rehearsal notes
S12,Final Integration and Submission,"As a project team, we need to package and present the completed project so it can be assessed against code, BRD, test cases, weekly reports, and presentation requirements.",S12-T06,Prepare final data summary or dashboard insight explanation for the presentation.,Data Analyst,Week 10,Medium,Insight summary
